iter	Passed	Remaining
1211	47969	31187
1212	48001	31143
1213	48045	31106
1214	48073	31059
1215	48101	31013
1216	48131	30967
1217	48156	30917
1218	48185	30871
1219	48212	30824
1220	48244	30779
1221	48271	30732
1222	48299	30685
1223	48327	30639
1224	48356	30592
1225	48387	30547
1226	48418	30503
1227	48446	30456
1228	48472	30408
1229	48499	30361
1230	48524	30313
1231	48554	30267
1232	48582	30221
1233	48611	30175
1234	48641	30130
1235	48671	30085
1236	48711	30045
1237	48738	29999
1238	48767	29952
1239	48796	29907
1240	48822	29859
1241	48846	29811
1242	48903	29782
1243	49031	29797
1244	49164	29814
1245	49297	29831
1246	49433	29850
1247	49564	29865
1248	49691	29878
1249	49823	29894
1250	49964	29914
1251	50087	29924
1252	50210	29934
1253	50310	29929
1254	50347	29887
1255	50430	29872
1256	50540	29873
1257	50651	29875
1258	50781	29887
1259	50905	29897
1260	51049	29916
1261	51198	29940
1262	51325	29950
1263	51464	29966
1264	51605	29984
1265	51750	30003
1266	51876	30012
1267	51992	30014
1268	52052	29984
1269	52159	29981
1270	52258	29973
1271	52354	29963
1272	52446	29951
1273	52561	29952
1274	52698	29965
1275	52825	29973
1276	52975	29993
1277	53091	29993
1278	53285	30038
1279	53443	30062
1280	53602	30086
1281	53657	30051
1282	53699	30009
1283	53736	29965
1284	53775	29921
1285	53812	29877
1286	53848	29831
1287	53937	29816
1288	54018	29795
1289	54051	29749
1290	54089	29705
1291	54120	29657
1292	54155	29611
1293	54187	29564
1294	54290	29555
1295	54328	29511
1296	54358	29463
1297	54388	29415
1298	54415	29365
1299	54445	29316
1300	54477	29269
1301	54508	29221
1302	54568	29189
1303	54624	29155
1304	54655	29107
1305	54683	29058
1306	54710	29008
1307	54736	28958
1308	54762	28908
1309	54791	28859
1310	54820	28810
1311	54847	28761
1312	54951	28752
1313	55057	28743
1314	55086	28695
1315	55113	28645
1316	55143	28597
1317	55172	28548
1318	55198	28498
1319	55349	28513
1320	55414	28483
1321	55440	28433
1322	55469	28384
1323	55497	28335
1324	55522	28285
1325	55549	28235
1326	55581	28188
1327	55608	28139
1328	55667	28106
1329	55784	28102
1330	55918	28106
1331	55969	28068
1332	55996	28019
1333	56024	27970
1334	56057	27923
1335	56083	27873
1336	56109	27824
1337	56206	27809
1338	56319	27802
1339	56488	27822
1340	56604	27817
1341	56632	27767
1342	56659	27718
1343	56687	27669
1344	56712	27618
1345	56741	27569
1346	56772	27522
1347	56799	27472
1348	56827	27423
1349	56923	27407
1350	57029	27395
1351	57057	27347
1352	57082	27296
1353	57107	27246
1354	57136	27197
1355	57164	27148
1356	57192	27099
1357	57219	27050
1358	57251	27003
1359	57367	26996
1360	57479	26986
1361	57520	26944
1362	57548	26895
1363	57580	26848
1364	57606	26798
1365	57637	26751
1366	57662	26700
1367	57687	26650
1368	57712	26600
1369	57755	26558
1370	57822	26528
1371	57878	26492
1372	57916	26448
1373	58032	26440
1374	58150	26432
1375	58223	26403
1376	58282	26369
1377	58347	26336
1378	58475	26333
1379	58623	26338
1380	58688	26305
1381	58717	26257
1382	58746	26208
1383	58783	26163
1384	58809	26114
1385	58835	26063
1386	58865	26016
1387	58892	25966
1388	58918	25917
1389	58943	25867
1390	58970	25818
1391	58999	25769
1392	59027	25721
1393	59081	25683
1394	59110	25635
1395	59137	25586
1396	59165	25538
1397	59195	25490
1398	59223	25441
1399	59254	25394
1400	59283	25346
1401	59311	25298
1402	59336	25248
1403	59359	25198
1404	59386	25149
1405	59415	25101
1406	59442	25052
1407	59468	25003
1408	59530	24969
1409	59559	24922
1410	59589	24874
1411	59616	24826
1412	59644	24777
1413	59670	24729
1414	59698	24681
1415	59725	24632
1416	59753	24584
1417	59782	24536
1418	59809	24488
1419	59835	24439
1420	59860	24390
1421	59897	24346
1422	59923	24297
1423	59949	24249
1424	59977	24201
1425	60005	24153
1426	60032	24105
1427	60083	24067
1428	60110	24019
1429	60131	23968
1430	60159	23920
1431	60192	23875
1432	60219	23827
1433	60252	23781
1434	60278	23733
1435	60306	23685
1436	60334	23638
1437	60357	23589
1438	60385	23541
1439	60417	23495
1440	60444	23447
1441	60468	23399
1442	60500	23353
1443	60570	23322
1444	60608	23278
1445	60636	23231
1446	60662	23183
1447	60670	23128
1448	60697	23080
1449	60733	23036
1450	60762	22989
1451	60787	22941
1452	60815	22894
1453	60841	22846
1454	60871	22800
1455	60899	22753
1456	60927	22706
1457	60965	22663
1458	61012	22623
1459	61040	22576
1460	61073	22531
1461	61123	22492
1462	61149	22445
1463	61176	22398
1464	61204	22351
1465	61246	22309
1466	61273	22262
1467	61300	22215
1468	61326	22167
1469	61353	22120
1470	61397	22079
1471	61505	22061
1472	61608	22041
1473	61712	22022
1474	61778	21988
1475	61894	21973
1476	62015	21959
1477	62125	21941
1478	62242	21925
1479	62359	21910
1480	62478	21895
1481	62630	21891
1482	62715	21863
1483	62809	21839
1484	62899	21813
1485	62958	21777
1486	63069	21758
1487	63118	21718
1488	63187	21684
1489	63295	21664
1490	63404	21645
1491	63541	21634
1492	63706	21633
1493	63852	21626
1494	63996	21617
1495	64155	21613
1496	64322	21612
1497	64416	21586
1498	64501	21557
1499	64608	21536
1500	64786	21538
1501	64931	21528
1502	65081	21520
1503	65224	21510
1504	65371	21500
1505	65525	21493
1506	65615	21465
1507	65688	21431
1508	65808	21412
1509	65902	21385
1510	65983	21354
1511	66055	21319
1512	66136	21287
1513	66221	21257
1514	66369	21246
1515	66489	21227
1516	66549	21188
1517	66651	21163
1518	66811	21156
1519	66952	21142
1520	67040	21112
1521	67115	21078
1522	67269	21068
1523	67417	21056
1524	67523	21031
1525	67608	21000
1526	67695	20969
1527	67768	20933
1528	67868	20906
1529	68042	20902
1530	68205	20893
1531	68364	20884
1532	68529	20876
1533	68660	20857
1534	68902	20872
1535	68993	20841
1536	69200	20845
1537	69384	20842
1538	69607	20850
1539	69904	20880
1540	70194	20908
1541	70402	20910
1542	70541	20892
1543	70660	20868
1544	70802	20851
1545	70837	20802
1546	70876	20754
1547	70919	20707
1548	70961	20660
