GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_COMPANIONS_NUM,TRAVEL_MISSION_INT,VISIT_AREA_NM,DGSTFN
남,20.0,2,2,2,4,3,2,2,2,2,0.0,4,부모님집,4.0
여,20.0,6,1,1,2,2,6,5,2,7,1.0,21,양수역 근처 남한강 산책길,2.0
남,30.0,2,3,3,4,3,5,3,4,2,0.0,3,그냥 꽃,4.0
여,50.0,2,2,2,5,2,5,7,5,2,0.0,1,쁘띠속눈썹,5.0
남,20.0,3,2,1,6,6,1,7,6,9,3.0,6,서현역 수인분당선,5.0
여,40.0,1,4,4,3,4,3,5,3,1,0.0,6,아티장크로아상,4.0
여,20.0,4,7,1,5,6,1,6,7,1,1.0,22,바르다김선생 광화문점,5.0
남,30.0,5,3,5,5,3,5,4,4,1,0.0,26,진pc방,2.0
남,30.0,2,3,2,3,4,5,5,4,2,1.0,21,카페온더데스크,4.0
남,30.0,2,2,2,4,3,3,5,5,3,2.0,22,성남제1공단 근린공원,4.0
여,30.0,4,2,4,5,4,1,3,2,8,2.0,6,이문설농탕,5.0
여,40.0,4,5,3,2,4,5,6,6,2,3.0,8,남이섬,5.0
여,20.0,3,2,2,4,4,5,6,5,1,1.0,23,JK블라썸호텔,3.0
여,30.0,5,3,2,5,6,6,2,2,7,1.0,9,스타벅스 서울역사점,5.0
여,20.0,6,2,2,2,4,6,5,2,7,0.0,21,스타벅스 안양범계,4.0
남,60.0,6,1,4,7,5,6,7,4,5,2.0,2,오믈렛 먹자,2.0
여,40.0,1,1,1,2,4,2,3,4,2,5.0,2,운천칼국수,5.0
남,30.0,2,2,1,3,2,1,3,4,3,1.0,3,청계천,5.0
여,30.0,2,4,5,4,6,4,4,4,1,2.0,3,빽다방 이태원점,4.0
남,20.0,5,1,1,4,4,4,2,7,3,1.0,4,일미집,4.0
여,40.0,1,4,1,1,2,1,6,3,6,1.0,3,세븐일레븐 여의아이비피아,3.0
여,20.0,5,2,3,2,2,2,2,3,4,0.0,6,글래드 여의도,5.0
남,20.0,1,4,2,6,4,3,5,4,5,0.0,22,샘마루공원,5.0
여,30.0,4,7,2,5,6,7,7,7,1,0.0,1,두부공방,5.0
남,20.0,4,1,2,4,2,4,7,2,1,0.0,6,삼삼이네생고깃집 홍대점,5.0
남,20.0,2,1,1,1,1,7,6,7,1,0.0,26,명동교자 본점,5.0
여,30.0,6,1,1,1,1,1,1,1,1,0.0,1,송도센트럴파크,3.0
남,30.0,4,4,2,6,4,4,5,3,1,0.0,4,녹사평보도육교,4.0
여,20.0,4,1,1,3,6,4,1,6,1,3.0,22,남춘천역,3.0
남,30.0,4,4,2,4,5,4,4,4,7,2.0,1,무모한초밥 송산그린시티점,5.0
여,20.0,4,2,2,5,4,6,5,6,2,0.0,9,램파트호텔,4.0
남,40.0,1,7,1,1,1,1,1,1,4,1.0,1,파주프리미엄아울렛,5.0
여,20.0,2,2,2,5,3,2,6,6,3,1.0,2,미리내성지,3.0
여,30.0,4,1,4,4,1,4,7,4,7,1.0,2,삼정호텔,3.0
여,20.0,4,2,3,2,3,2,5,4,3,1.0,1,롯데아울렛 광교점,5.0
남,20.0,4,1,3,1,3,4,1,6,1,2.0,5,죽전휴게소 서울방향,5.0
여,60.0,3,2,1,4,3,2,5,4,7,1.0,21,공자상,3.0
여,30.0,4,4,3,4,4,3,5,5,1,3.0,2,과천경마공원,5.0
여,20.0,2,3,2,6,4,6,5,5,3,1.0,4,서울역,5.0
남,30.0,4,4,2,4,6,5,6,6,1,0.0,5,헤이리예술마을,4.0
남,20.0,4,1,2,2,4,4,2,6,1,0.0,7,"여의도공원, 여의도 지하차도 버스정류장",5.0
여,20.0,4,3,3,4,4,5,5,5,4,0.0,6,틴틴홀,4.0
남,20.0,2,1,1,1,1,7,6,7,1,0.0,26,북촌한옥마을,2.0
남,30.0,6,1,7,7,1,5,1,7,4,0.0,22,대박 자전거 대여점(능내역),5.0
여,30.0,2,4,2,2,3,3,2,6,8,0.0,3,덕수궁 리에제와플,4.0
여,30.0,5,2,3,5,6,4,4,1,1,1.0,8,남산공원 N서울타워,5.0
여,20.0,3,1,2,4,4,4,4,3,3,1.0,2,콘타이,3.0
남,30.0,2,1,1,1,1,7,2,7,3,1.0,12,전통술박물관산사원 본원,5.0
여,20.0,3,3,2,3,6,3,6,6,3,1.0,6,배곧중심상가역,3.0
남,30.0,2,3,2,4,5,3,5,4,8,3.0,6,CGV 하남미사,4.0
여,30.0,4,4,2,1,4,6,5,3,2,0.0,3,방화수류정,4.0
남,30.0,3,1,1,4,3,4,1,5,8,0.0,3,해밀호텔,5.0
남,20.0,3,1,3,3,2,3,5,3,2,1.0,1,스타필드 하남,5.0
여,40.0,6,3,4,2,2,4,6,2,2,1.0,23,더 플라자 라운지,5.0
남,20.0,4,1,3,3,2,2,2,2,3,1.0,2,서울식물원,4.0
남,30.0,5,1,2,2,4,2,3,6,2,1.0,3,꼬막사랑,3.0
여,20.0,5,1,1,3,7,1,6,6,1,1.0,6,호텔더디자이너스 인천점,4.0
여,40.0,3,5,5,2,2,6,2,3,1,1.0,21,김포한옥마을,4.0
여,20.0,6,2,2,2,4,6,5,2,7,0.0,21,라띠에라,4.0
여,20.0,4,7,1,5,6,1,6,7,1,1.0,22,CGV 용산아이파크몰,5.0
여,20.0,2,1,1,1,6,7,1,7,4,2.0,1,이천돌솥밥시골밥상,5.0
여,50.0,6,4,2,2,4,6,5,3,3,2.0,6,덕평자연휴게소 강릉방향,5.0
남,30.0,7,1,3,7,4,4,6,2,1,0.0,10,클럽케이서울,5.0
남,20.0,2,2,2,5,6,3,5,3,1,0.0,3,청주시외버스터미널,4.0
여,30.0,1,1,1,3,3,2,6,6,1,0.0,3,대전역,5.0
여,30.0,4,4,2,3,3,2,2,7,2,1.0,25,퍼키드,4.0
남,40.0,2,2,2,4,6,2,2,4,1,1.0,4,명동거리,5.0
여,20.0,3,6,4,5,2,3,7,2,1,1.0,1,어반아지트,4.0
남,20.0,2,2,2,2,2,2,7,6,3,1.0,1,부개역 1호선,4.0
여,30.0,1,1,4,4,5,1,4,2,6,0.0,2,뒷산,5.0
남,40.0,3,6,1,4,7,2,1,6,1,1.0,2,서울식물원,5.0
여,30.0,4,4,3,4,4,3,5,6,1,1.0,23,디델리,5.0
남,30.0,1,6,2,6,2,6,2,3,8,1.0,22,청목장어,5.0
여,40.0,2,2,4,4,2,4,4,4,4,1.0,13,김영화부대찌개,4.0
여,50.0,7,6,7,5,4,6,5,4,2,0.0,3,제철쌈밥,5.0
여,20.0,1,1,4,1,1,4,1,5,3,1.0,2,에버랜드 알파인종합식당,5.0
여,30.0,4,4,4,3,1,2,4,6,2,1.0,2,가평역 경춘선,4.0
남,20.0,4,1,1,3,4,1,1,7,1,0.0,6,관악관,5.0
여,20.0,4,6,2,3,4,4,2,2,2,0.0,3,유유샤브 구월점,3.0
남,20.0,5,2,2,3,3,5,1,4,3,1.0,21,트리플스트리트,5.0
여,20.0,1,1,1,1,2,6,7,7,2,0.0,23,스시쿤 판교,5.0
여,20.0,2,2,2,5,2,3,2,6,2,1.0,8,국화축제,4.0
여,20.0,4,1,4,2,4,4,5,6,10,1.0,9,리미트8호텔,4.0
여,20.0,4,3,4,3,2,3,2,5,7,0.0,6,짱군떡볶이,3.0
남,30.0,5,3,3,4,3,6,5,5,1,0.0,1,itx 청춘열차,5.0
남,30.0,6,7,6,3,6,6,7,4,2,3.0,23,압구정 일대 거리 투어,3.0
여,40.0,3,3,3,5,5,5,3,5,7,0.0,7,이마트 창동점,4.0
여,20.0,4,2,2,6,6,5,2,6,7,3.0,9,통나무집닭갈비 3호점,4.0
여,20.0,3,2,3,4,3,4,1,7,4,0.0,7,버거킹 청담점,4.0
여,30.0,4,4,3,4,4,3,5,5,1,3.0,2,일호돼지갈비,3.0
여,20.0,3,3,5,4,3,5,6,5,1,1.0,25,글램독펜션,4.0
여,30.0,1,1,1,1,1,1,1,7,3,2.0,23,인사동 문화의거리,5.0
여,20.0,4,3,2,1,2,3,7,7,4,0.0,1,CGV 인천연수,5.0
남,20.0,4,2,3,4,4,2,6,3,1,0.0,1,멘텐,4.0
여,30.0,4,4,4,4,4,4,4,4,2,1.0,3,파주축산한우마을 본점,4.0
여,30.0,1,1,1,2,1,7,7,7,3,2.0,21,기왓집순두부,4.0
여,20.0,7,1,1,1,1,7,6,7,5,0.0,6,모던하우스 용산아이파크점,4.0
남,30.0,4,1,1,3,4,1,3,5,8,0.0,4,현대프리미엄아울렛 송도점,4.0
여,20.0,6,2,1,3,6,4,1,7,5,0.0,26,메주꽃,1.0
남,30.0,1,2,2,4,3,2,2,4,4,0.0,26,카페 메이플림,5.0
남,40.0,2,2,6,4,2,4,6,1,8,4.0,3,화홍문공영주차장,3.0
남,20.0,3,2,2,2,6,2,6,7,2,1.0,6,그래비테이트,4.0
여,30.0,5,4,4,3,2,5,3,4,1,1.0,22,와플대학 충남대캠퍼스,3.0
여,30.0,1,1,1,1,1,1,1,4,3,3.0,10,곤지암리조트 스파라스파,4.0
남,40.0,6,2,2,4,6,6,2,2,8,2.0,11,망향비빔국수 궁평본점,4.0
남,20.0,4,1,1,3,3,4,5,5,7,3.0,4,남문통닭 수원본점,5.0
여,20.0,3,2,4,3,3,2,1,7,3,1.0,1,럭키차이나,3.0
여,20.0,6,2,2,2,2,5,3,6,7,0.0,6,청주여객터미널 북부정류장,3.0
남,40.0,2,2,3,5,6,6,6,6,8,3.0,3,화성행궁,5.0
남,20.0,7,1,2,2,3,5,1,5,1,1.0,1,여의도한강공원,4.0
여,30.0,2,3,2,2,2,5,6,5,2,1.0,21,삼청동샤브 에피소드수유838점,5.0
여,20.0,4,3,2,1,4,2,3,6,5,1.0,6,블루밍 커피,4.0
여,20.0,5,2,3,2,2,2,2,3,4,0.0,6,스타벅스 숭례문SG타워점,4.0
여,30.0,3,6,1,1,5,6,2,3,1,0.0,22,운길산역 경의중앙선,5.0
여,20.0,6,1,1,7,1,1,7,1,1,1.0,1,무인다이안호텔,3.0
여,20.0,3,2,2,1,2,6,7,3,1,1.0,23,안다즈 서울강남,5.0
여,30.0,6,6,6,6,2,3,4,6,1,1.0,11,양서농협하나로마트 본점,5.0
여,30.0,6,2,2,2,2,3,3,6,7,3.0,2,나주소나주곰탕 경복궁점,5.0
여,50.0,2,2,2,6,5,4,2,4,2,3.0,2,설빙 경기화성동탄카림애비뉴점,3.0
여,20.0,4,4,3,2,4,4,2,5,2,3.0,1,대전신세계 아트앤사이언스,4.0
남,40.0,2,4,2,4,2,2,5,5,4,0.0,6,국립현대미술관 과천관,5.0
여,50.0,3,1,1,5,4,4,2,2,3,4.0,3,기흥휴게소 부산방향,3.0
남,20.0,2,2,2,2,6,2,6,7,5,1.0,2,설봉2차푸르지오아파트,5.0
여,20.0,6,1,6,5,5,6,2,2,1,0.0,3,랜디스도넛 안국점,5.0
여,40.0,3,3,3,3,3,3,3,4,4,3.0,3,애성회관,3.0
여,20.0,2,2,1,2,7,2,2,6,4,0.0,5,행운약국,5.0
남,40.0,4,4,4,6,4,4,3,4,2,0.0,9,남수문,4.0
남,40.0,4,1,1,1,1,4,1,4,3,3.0,3,북악팔각정,3.0
남,20.0,7,1,1,1,1,7,7,7,7,1.0,3,푸하하크림빵 익선동,5.0
여,40.0,4,1,3,3,2,4,3,4,1,2.0,23,청사초롱,4.0
여,20.0,3,3,4,4,3,3,5,4,3,2.0,2,봉추찜닭 강남대점,5.0
여,50.0,6,4,2,2,4,6,5,3,3,2.0,6,칠곡휴게소 서울방향,4.0
남,60.0,2,2,2,2,2,2,6,2,1,0.0,3,영녕릉 세종대왕유적지구 세종대왕릉,5.0
여,20.0,4,2,3,5,5,6,3,6,2,1.0,9,이태원거리,2.0
남,40.0,2,1,6,1,1,6,7,6,2,5.0,27,용추계곡,4.0
여,50.0,3,4,3,2,1,4,2,6,2,1.0,23,홈플러스 오산점,5.0
여,30.0,4,4,4,1,1,7,5,5,1,2.0,4,망원한강공원 2주차장,5.0
남,30.0,1,4,2,6,5,5,5,3,9,2.0,2,에버랜드,5.0
여,40.0,3,3,5,2,3,5,5,3,8,1.0,6,그릴도하 한남점,3.0
남,40.0,2,2,2,4,6,2,2,4,1,1.0,4,하늘공원 메타세콰이어길,5.0
여,30.0,6,2,2,2,6,6,1,6,3,1.0,3,광교카페거리,4.0
여,40.0,1,4,6,3,1,4,4,1,2,0.0,2,국립수목원 국립산림박물관,4.0
여,60.0,4,6,2,1,6,6,6,6,9,1.0,1,김포국제공항 국내선,4.0
남,20.0,7,4,7,4,1,4,4,3,6,0.0,1,롯데리아 수원역사점,5.0
여,30.0,5,3,1,4,5,7,7,7,4,0.0,6,서울숲,4.0
여,30.0,3,2,4,3,5,5,5,3,2,1.0,23,롯데몰 광명점,2.0
남,30.0,4,1,3,3,4,3,2,7,5,0.0,3,호텔아이린시티,5.0
여,20.0,2,2,1,5,3,3,2,7,1,0.0,3,화성행궁,5.0
남,40.0,4,4,4,4,4,4,4,4,3,3.0,5,킹덤키즈풀빌라,5.0
남,30.0,7,1,3,7,4,4,6,2,1,0.0,10,코엑스,4.0
남,40.0,1,4,2,1,7,4,1,7,8,3.0,1,이터스 롯데타임빌라스점,4.0
남,40.0,1,4,4,4,4,4,4,4,1,0.0,2,가평역 경춘선,3.0
여,20.0,1,1,1,6,7,1,1,4,2,1.0,2,감성타코 건대점,5.0
남,30.0,2,5,2,2,4,2,7,2,1,0.0,26,힘찬장어,4.0
남,20.0,6,2,2,2,6,3,1,6,1,0.0,6,올소올소 수원역점,5.0
여,20.0,2,1,3,2,2,5,5,1,1,1.0,1,담쁨퍼스널컬러,4.0
여,20.0,5,5,4,5,4,4,6,6,1,1.0,2,춘천시외버스터미널,5.0
남,30.0,2,2,1,5,6,2,6,2,6,0.0,8,강변막국수,4.0
남,20.0,2,2,3,3,4,5,1,3,7,1.0,9,남산돈가스거리,3.0
남,40.0,2,6,1,4,2,6,7,6,1,3.0,24,North124,4.0
여,40.0,5,3,2,1,2,5,6,7,8,0.0,12,킵댓 로스터리,4.0
여,20.0,3,5,5,5,3,6,7,2,2,0.0,4,로얄스케치,4.0
여,30.0,1,6,1,2,2,6,1,7,2,0.0,22,경의선숲길,5.0
여,40.0,1,1,4,1,4,4,7,1,3,3.0,23,종묘,5.0
남,30.0,2,2,3,1,3,6,6,2,5,0.0,6,양서농협하나로마트 국수점,5.0
남,20.0,6,5,2,5,6,5,5,5,2,3.0,21,홀인원쌈밥집,3.0
여,40.0,4,6,2,2,2,4,2,4,1,0.0,2,금섬침대 김포검단점,4.0
여,30.0,1,1,1,1,7,1,4,4,1,1.0,6,충무아트센터,5.0
남,20.0,5,2,4,6,7,4,3,2,3,1.0,6,안암역 6호선,5.0
여,20.0,4,2,2,5,3,5,2,6,3,1.0,6,공차 대학로점,3.0
남,30.0,1,4,3,5,7,4,7,6,2,1.0,6,부모님댁,5.0
여,30.0,4,2,4,2,4,6,5,4,7,1.0,10,이옥진 시인 마을길,1.0
여,40.0,7,7,6,7,7,5,6,2,3,3.0,3,전곡선사박물관,5.0
여,40.0,1,1,1,4,1,1,2,4,7,4.0,11,37.5 안성점,5.0
여,30.0,1,4,4,5,3,3,6,3,3,2.0,2,에버랜드,5.0
여,20.0,5,2,4,3,5,3,3,7,1,0.0,1,몬탁,4.0
남,40.0,5,5,5,4,5,5,6,5,1,3.0,4,평창갈비 마석점,5.0
여,30.0,6,2,2,2,6,2,3,6,5,3.0,2,어반스테이 동탄,4.0
남,20.0,5,1,3,3,6,5,3,5,3,1.0,2,풀문호텔,4.0
남,30.0,2,1,1,1,2,1,4,6,2,4.0,5,시흥프리미엄아울렛,4.0
여,20.0,6,6,6,6,6,6,6,6,5,0.0,6,육수당 수서역사점,4.0
여,30.0,4,2,4,1,4,4,4,6,3,1.0,6,밀곳간,5.0
남,20.0,7,1,7,1,3,6,1,7,6,1.0,26,롱위켄드,5.0
여,40.0,2,2,6,4,2,2,6,3,4,0.0,9,수원여자대학교 인제캠퍼스,4.0
여,20.0,1,1,1,6,7,1,1,4,2,1.0,2,마초쉐프 건대점,5.0
여,30.0,2,1,6,2,4,6,6,2,8,2.0,2,세종문화회관 미술관,4.0
남,30.0,4,1,3,3,4,3,2,7,5,0.0,3,서대구역,5.0
여,30.0,4,4,3,3,4,3,5,5,1,0.0,22,수원ak,5.0
여,20.0,3,1,3,2,6,2,2,5,2,1.0,6,디럭스상회,4.0
남,20.0,5,2,3,3,5,5,5,5,7,0.0,6,울산역,3.0
여,30.0,6,1,1,1,6,4,6,1,1,1.0,28,도봉산,3.0
남,30.0,2,1,2,2,6,2,7,4,7,0.0,27,운현궁,4.0
여,30.0,3,3,3,5,5,6,6,3,7,1.0,3,에일당,3.0
여,40.0,2,5,5,2,2,5,5,3,3,3.0,2,국립과천과학관,4.0
남,20.0,2,3,2,4,5,3,6,3,4,0.0,2,인쌩맥주 구리돌다리점,5.0
남,40.0,6,5,6,5,6,4,3,3,1,0.0,13,남대문시장,3.0
여,40.0,1,4,6,3,1,4,4,1,2,0.0,2,벼락소유원지,4.0
여,20.0,5,4,2,3,6,5,5,7,1,0.0,6,더현대서울,4.0
남,40.0,1,2,3,5,6,2,3,7,2,0.0,3,신포닭강정 본점,5.0
남,20.0,2,2,2,5,6,3,5,3,1,0.0,3,청주시외버스터미널,4.0
남,40.0,3,6,4,3,4,5,4,5,1,3.0,2,유가네칼국수,5.0
여,20.0,6,2,1,1,7,2,2,6,7,1.0,6,대전역,5.0
남,30.0,2,2,2,3,4,3,3,5,3,2.0,23,그래비티 서울 판교 오토그래프컬렉션,5.0
여,20.0,5,1,2,3,4,5,6,7,1,1.0,4,성수김밥 퍼니텅,4.0
여,30.0,4,3,1,3,4,4,1,7,1,1.0,22,섬세이 테라리움,5.0
여,50.0,3,4,6,3,1,6,2,6,1,1.0,4,스페이스작,4.0
여,60.0,4,4,4,5,4,3,3,4,2,0.0,22,블루힐모텔,3.0
여,30.0,4,1,4,4,1,4,7,4,7,1.0,2,삼정호텔,4.0
여,30.0,6,1,4,1,1,6,1,1,2,0.0,1,아띠몽 수서역사점,4.0
여,20.0,3,4,4,4,1,2,6,2,1,0.0,4,알라보 석촌호수점,4.0
여,20.0,4,3,1,3,4,3,4,6,1,2.0,3,올리브영 명동 플래그십,3.0
남,50.0,4,5,6,5,4,5,4,6,7,0.0,1,피자오 현대프리미엄 아울렛 다산점,4.0
여,20.0,4,2,3,5,4,4,5,3,1,1.0,3,화성행궁,4.0
여,30.0,6,1,2,3,5,2,1,3,2,1.0,2,빈티지원,5.0
남,30.0,2,2,1,6,2,2,5,7,1,0.0,1,만랩커피 부천역곡점,5.0
남,40.0,4,4,6,2,4,6,3,2,9,1.0,6,더현대서울,5.0
남,20.0,2,2,3,6,4,4,3,6,1,0.0,22,여주휴게소주유소 인천방향,3.0
여,40.0,6,2,3,3,6,6,4,7,2,2.0,23,송도더샵퍼스트파크F14블록아파트,4.0
남,30.0,1,1,2,3,2,2,2,2,7,0.0,1,노보텔앰배서더 수원,5.0
남,20.0,4,3,2,3,5,5,2,4,1,1.0,23,더현대서울,3.0
여,20.0,2,1,4,3,5,6,1,7,1,0.0,1,포말커피,5.0
남,30.0,4,5,3,4,2,5,2,5,5,0.0,7,두껍집,5.0
남,30.0,3,2,3,6,6,5,5,1,1,0.0,6,죠스떡볶이 소하지구점,5.0
여,30.0,1,1,3,4,4,4,2,4,2,0.0,3,광화문광장,4.0
여,20.0,5,3,3,4,3,6,7,4,1,3.0,26,넥스트에디션 잠실점,3.0
여,20.0,3,2,2,4,5,3,6,5,9,2.0,1,어반포트 케이스퀘어시티 주차장,5.0
남,20.0,2,2,2,1,2,1,7,1,1,0.0,23,JW메리어트호텔서울 더라운지,4.0
여,30.0,2,3,1,1,3,2,2,6,7,3.0,1,더현대서울,5.0
여,20.0,2,4,3,5,5,1,3,7,1,0.0,3,여주종합터미널,4.0
여,40.0,1,4,4,4,1,4,1,3,1,0.0,1,가현산숲길(하산숲길),4.0
남,30.0,7,1,5,3,3,5,6,4,8,0.0,3,롯데마트 제타플렉스,5.0
여,40.0,1,4,6,3,1,4,4,1,2,0.0,2,장승다담공원,4.0
남,20.0,5,2,3,3,5,5,5,5,7,0.0,6,애니플러스샵 서울1호점,4.0
여,20.0,2,1,3,2,3,4,5,6,1,0.0,3,아트선재센터,5.0
남,30.0,1,1,1,1,1,7,7,7,2,0.0,4,애플하우스 이수,4.0
여,30.0,1,1,4,2,5,3,2,7,3,2.0,22,카페퍼르,1.0
남,40.0,2,5,2,6,3,3,2,6,1,0.0,1,드메인,3.0
남,20.0,4,1,2,5,6,2,1,5,4,0.0,1,버거킹 의정부신세계점,5.0
여,40.0,1,1,2,2,4,6,2,4,8,3.0,11,광화문광장,4.0
남,40.0,1,1,1,5,5,1,2,7,3,1.0,3,이나경송탄부대찌개,4.0
여,20.0,4,6,7,3,6,6,6,3,2,0.0,1,롯데몰 광명점,4.0
여,30.0,3,2,3,4,3,2,6,5,2,0.0,21,LG아트센터 서울,4.0
남,20.0,4,2,3,3,2,5,2,5,3,1.0,22,파크마린호텔,4.0
남,30.0,3,2,2,3,4,6,2,6,9,1.0,2,오오츄,4.0
여,30.0,4,1,3,2,2,4,4,7,3,2.0,2,서울어린이대공원,5.0
여,20.0,4,2,2,2,4,6,3,7,3,1.0,9,역전회관,4.0
여,40.0,4,2,1,3,2,6,6,2,2,5.0,21,제주국제공항,4.0
남,40.0,4,2,2,2,2,3,5,4,3,2.0,1,파주프리미엄아울렛,4.0
남,40.0,1,1,1,4,4,3,2,4,8,2.0,9,국립유명산자연휴양림,5.0
남,30.0,1,1,1,1,6,7,2,7,9,3.0,2,가평축협한우명가,5.0
여,40.0,4,5,2,3,7,2,2,4,8,0.0,6,호호떡볶기,3.0
여,20.0,6,6,6,2,6,6,3,6,3,1.0,1,런던베이글뮤지엄 도산점,5.0
남,50.0,1,4,4,1,6,2,1,7,3,1.0,1,안성팜랜드,5.0
여,20.0,5,2,4,2,2,3,3,7,1,4.0,3,더하우스1932,5.0
남,30.0,6,2,3,2,4,4,6,3,6,0.0,28,청계산입구역 신분당선,5.0
여,30.0,5,4,3,6,6,5,4,2,2,2.0,24,미사호수공원,5.0
여,20.0,4,1,2,4,5,3,5,7,1,0.0,1,송도센트럴공원 꽃사슴정원,4.0
남,30.0,1,1,6,1,2,2,2,5,2,2.0,23,기억저장소,5.0
여,30.0,6,1,2,3,5,2,1,3,2,1.0,2,라운지11,4.0
여,30.0,2,2,5,1,1,4,6,2,3,3.0,8,병목안시민공원,5.0
여,20.0,4,3,5,3,1,3,3,2,3,1.0,23,아쿠아플라넷,4.0
여,30.0,4,4,4,3,1,2,4,6,2,1.0,2,가평 조은마트,3.0
남,60.0,2,2,2,2,2,2,6,2,1,0.0,3,여주오곡나루축제,4.0
여,60.0,4,3,2,5,6,5,2,4,3,2.0,2,김가네.스타벅스,4.0
남,30.0,4,4,2,4,4,2,5,6,1,0.0,7,황해수육 부천상동점,5.0
여,40.0,4,4,4,4,4,4,4,4,7,0.0,1,일산호수공원,4.0
여,40.0,3,4,4,6,6,4,6,6,8,5.0,2,경복궁,5.0
여,30.0,4,2,6,2,1,6,1,6,1,0.0,21,구산성지,4.0
여,20.0,5,5,2,3,6,5,2,6,3,1.0,9,모노맨션 송리단길점,5.0
남,40.0,3,2,2,4,5,4,5,6,8,0.0,3,남한산성 행궁,4.0
남,20.0,6,6,3,6,2,5,6,5,2,0.0,3,천주교서울대교구 주교좌 명동대성당,5.0
여,30.0,1,1,1,3,3,2,6,6,1,0.0,3,곳간,5.0
남,20.0,3,3,4,2,5,4,4,4,2,1.0,2,알앤디69,4.0
여,30.0,2,4,6,5,2,2,2,6,1,0.0,1,남대문시장,1.0
여,30.0,2,4,2,4,3,4,3,6,3,3.0,2,서종더김밥,3.0
남,30.0,5,5,6,4,5,5,5,2,3,1.0,3,국립중앙박물관,5.0
여,20.0,2,3,3,3,3,4,2,5,1,1.0,2,삼성전자 수원사업장 중앙문,5.0
남,20.0,4,2,3,5,3,3,5,4,1,1.0,4,라온아트홀,5.0
남,40.0,3,2,5,4,3,5,3,5,2,1.0,1,한탄강하늘다리,5.0
여,20.0,2,4,1,3,2,2,7,6,1,1.0,2,킨텍스바이케이트리,4.0
여,50.0,6,6,4,1,1,4,5,5,5,0.0,1,봉은사,4.0
남,20.0,3,1,4,2,3,4,6,3,1,0.0,2,배다리공원,5.0
남,50.0,2,3,2,3,3,2,6,5,6,1.0,12,맛고을 장단콩두부마을,4.0
남,50.0,1,4,1,7,4,1,7,1,8,0.0,3,벽초지수목원,4.0
여,40.0,1,3,2,4,1,2,7,5,7,0.0,28,아차산큰바위얼굴,5.0
여,20.0,5,5,3,3,4,4,6,1,1,3.0,7,헤리티지31호텔,5.0
여,30.0,1,1,4,1,4,4,3,5,3,6.0,8,김포캠핑파크,5.0
여,40.0,2,1,3,5,6,6,5,7,3,3.0,3,길거리 토스트,4.0
여,30.0,2,1,6,4,6,3,3,6,1,1.0,26,중앙경제HR교육원,4.0
남,30.0,1,4,7,7,4,1,7,1,9,3.0,5,파리바게뜨 가평점,5.0
여,30.0,2,4,1,3,2,2,1,6,7,2.0,11,서울공예박물관 어린이박물관,5.0
여,20.0,2,1,3,2,3,4,5,6,1,0.0,3,창경궁,5.0
남,30.0,4,1,4,3,4,4,2,1,8,0.0,5,두물머리연핫도그,3.0
여,40.0,4,1,3,3,2,4,3,4,1,2.0,23,정담은코다리조림동태탕,5.0
여,20.0,5,1,1,3,6,7,1,7,5,0.0,26,백채김치찌개 양재시민의 숲점,4.0
남,30.0,2,4,2,2,5,5,3,3,2,3.0,8,엉클드파리,4.0
여,20.0,2,1,2,1,1,3,6,7,5,3.0,25,황태속이야기,5.0
남,20.0,4,1,1,4,1,4,1,3,3,1.0,9,문산역 경의중앙선,5.0
여,30.0,4,4,3,4,4,3,5,6,1,1.0,23,메가박스 코엑스 더 부티크 스위트,5.0
남,30.0,6,1,3,1,3,6,2,5,2,1.0,23,두물머리,5.0
남,20.0,3,1,1,4,3,2,7,5,1,1.0,3,이비스앰배서더 수원점,4.0
여,20.0,6,4,1,5,5,5,6,7,3,2.0,6,동암역 1호선,5.0
남,30.0,1,1,1,4,7,1,1,1,1,1.0,1,헤이리예술마을,3.0
남,20.0,1,1,7,7,5,5,5,6,3,3.0,8,킨텍스캠핑장,5.0
여,20.0,6,2,2,2,1,1,6,6,1,1.0,26,부산역,5.0
남,20.0,2,4,5,5,3,3,6,5,1,0.0,1,카페비그린,5.0
남,40.0,2,4,2,2,2,2,3,7,3,3.0,2,다온 가평숯불닭갈비,4.0
남,40.0,2,1,4,2,2,4,6,2,2,0.0,6,인천SSG랜더스필드,5.0
여,20.0,5,7,2,4,3,4,7,2,8,1.0,4,서울시티투어타이거버스,4.0
남,40.0,2,4,2,4,2,2,5,5,4,0.0,6,국립현대미술관 덕수궁관,5.0
여,30.0,3,6,6,2,6,2,2,5,3,3.0,2,안다즈 서울강남,5.0
여,60.0,2,1,2,2,2,2,2,2,8,1.0,3,화청갈비,4.0
남,30.0,2,2,2,3,5,4,6,5,3,2.0,1,빵선생 샹그리나 파라다이스,5.0
여,20.0,1,2,2,2,4,2,6,4,3,1.0,9,딜쿠샤,5.0
여,20.0,5,2,4,2,2,3,3,7,1,4.0,3,할리스 동탄카림애비뉴점,5.0
남,20.0,2,1,1,6,7,4,5,5,7,3.0,5,화서시장,5.0
여,40.0,2,1,4,2,3,6,5,1,1,3.0,3,가비림,3.0
